time_val,ssr
2019-07-10,19067945.259993058
2019-07-11,20389524.752343286
2019-07-12,20571751.73421692
2019-07-13,25841148.62672957
2019-07-14,23722976.89933173
2019-07-15,22112003.604815513
2019-07-16,15112752.005802419
2019-07-17,14681481.482034814
2019-07-18,24031461.147217814
2019-07-19,24052287.088003375
2019-07-20,20594313.170067944
2019-07-21,24672726.573906466
2019-07-22,19864971.368807033
2019-07-23,18585043.758027922
2019-07-24,24789872.490825236
2019-07-25,14802098.389084507
2019-07-26,25084472.77818761
2019-07-27,21287209.574954126
2019-07-28,19056230.66830118
2019-07-29,17768927.20349385
2019-07-30,11368855.275831927
2019-07-31,22329374.36176478
2019-08-01,15842961.554596063
2019-08-02,6905161.967460573
2019-08-03,17710788.118800834
2019-08-04,20261531.991265375
2019-08-05,14950049.343415245
2019-08-06,13230607.607307578
2019-08-07,4506273.913224062
2019-08-08,17846590.60767333
2019-08-09,18235775.376103453
2019-08-10,6747665.790269787
2019-08-11,2221494.659541756
2019-08-12,6302077.43221211
2019-08-13,11204417.11837929
2019-08-14,19889268.299723517
2019-08-15,23901299.017308075
2019-08-16,18264411.044683594
2019-08-17,25223312.38342467
2019-08-18,24932616.95995958
2019-08-19,23473499.483671397
2019-08-20,21544062.84464268
2019-08-21,19282278.90057776
2019-08-22,19841108.311656915
2019-08-23,21820006.56005133
2019-08-24,7395439.323453927
2019-08-25,5270759.489560602
2019-08-26,9642905.433228772
2019-08-27,17758948.106867436
2019-08-28,23860514.88326969
2019-08-29,23541617.664990827
2019-08-30,23287801.511666834
2019-08-31,22959792.94429429
2019-09-01,19380768.2455428
2019-09-02,19980815.6644267
2019-09-03,21856018.08265969
2019-09-04,21308469.38950605
2019-09-05,20955730.017450653
2019-09-06,21399149.006676503
2019-09-07,21982275.348672137
2019-09-08,22118511.711311
2019-09-09,20951391.279786997
2019-09-10,9211201.035694802
2019-09-11,5105019.710808866
2019-09-12,3523115.958639158
2019-09-13,6576719.526321662
2019-09-14,14933128.266526978
2019-09-15,12381516.646529706
2019-09-16,18706528.412610345
2019-09-17,9097959.982673328
2019-09-18,20347438.9970058
2019-09-19,9791290.261325877
2019-09-20,8171639.491482344
2019-09-21,19146476.411705267
2019-09-22,19924412.074799147
2019-09-23,20043293.486783378
2019-09-24,19943502.52051924
2019-09-25,19228912.42731477
2019-09-26,19208086.48652921
2019-09-27,17320301.729071613
2019-09-28,17699073.527108956
2019-09-29,16933720.203239683
2019-09-30,18399779.659789726
2019-10-01,18398044.16472426
2019-10-02,18162884.583353996
2019-10-03,17979789.85394763
2019-10-04,6965036.547219053
2019-10-05,17642236.063715037
2019-10-06,4955767.135179032
2019-10-07,17323338.845436174
2019-10-08,17358048.746745437
2019-10-09,12865285.896027574
2019-10-10,5394413.512974855
2019-10-11,6626181.135687362
2019-10-12,15453776.78616594
2019-10-13,15810854.895884993
2019-10-14,15194320.27387919
2019-10-15,16294190.271616494
2019-10-16,7395005.449687561
2019-10-17,11792316.071804948
2019-10-18,9132236.010216225
2019-10-19,15494994.79397069
2019-10-20,13255338.411990428
2019-10-21,14870650.444170304
2019-10-22,12849232.566672038
2019-10-23,12935573.446178833
2019-10-24,11485133.445217963
2019-10-25,12534240.212290468
2019-10-26,14203786.465266068
2019-10-27,14671936.259174766
2019-10-28,14923583.04366693
2019-10-29,14624644.018640894
2019-10-30,14069719.471459035
2019-10-31,13853216.462042501
2019-11-01,10966220.420644466
2019-11-02,12415358.800306238
2019-11-03,7194121.895860196
2019-11-04,13033195.043611139
2019-11-05,12887413.458112229
2019-11-06,9446794.490831431
2019-11-07,7696547.717311793
2019-11-08,12052206.457858063
2019-11-09,10623894.018981848
2019-11-10,12613205.237769043
2019-11-11,12336827.64859403
2019-11-12,11282948.2700915
2019-11-13,12651820.0029756
2019-11-14,12098197.077092838
2019-11-15,11641328.00110965
2019-11-16,10902007.103222325
2019-11-17,5962354.273147688
2019-11-18,12161108.773215879
2019-11-19,11747627.073869271
2019-11-20,8667123.33267209
2019-11-21,7923897.5708874725
2019-11-22,10583109.884943463
2019-11-23,2996393.2062710766
2019-11-24,6427900.824458192
2019-11-25,11301170.968278863
2019-11-26,10589617.99143895
2019-11-27,9680218.577136233
2019-11-28,10705462.287058618
2019-11-29,7231001.166001289
2019-11-30,6484304.414085746
2019-12-01,10316277.518628497
2019-12-02,10817835.59254736
2019-12-03,10573998.535849782
2019-12-04,10410428.125929873
2019-12-05,7968152.695056784
2019-12-06,10090663.16011828
2019-12-07,10071138.840631818
2019-12-08,9699309.022856329
2019-12-09,9931865.361628396
2019-12-10,9657657.14128521
2019-12-11,10003454.533078752
2019-12-12,9992173.815153243
2019-12-13,9625984.356340507
2019-12-14,7798508.0524077555
2019-12-15,2443638.027921047
2019-12-16,997102.8908574674
2019-12-17,6779772.448980856
2019-12-18,8781666.00699266
2019-12-19,9733151.176632859
2019-12-20,8552146.784585152
2019-12-21,9652016.782322455
2019-12-22,8719622.05840235
2019-12-23,9443757.37446687
2019-12-24,8461033.293648332
2019-12-25,1853569.705663558
2019-12-26,8605079.384081779
2019-12-27,10146632.875979468
2019-12-28,10023412.72633158
2019-12-29,9401671.61912939
2019-12-30,10350553.546171393
2019-12-31,10824382.100995991
2020-01-01,9904856.774763882
2020-01-02,10182952.917435203
2020-01-03,9897107.96583496
2020-01-04,9188952.927608453
2020-01-05,2403148.7527972534
2020-01-06,2097501.2894897647
2020-01-07,2023026.625895122
2020-01-08,11307391.190898811
2020-01-09,10813189.376987547
2020-01-10,8682697.410918865
2020-01-11,6591810.468264676
2020-01-12,9480824.730597857
2020-01-13,7640482.609978822
2020-01-14,11749073.29984738
2020-01-15,10535523.723701166
2020-01-16,5927134.857917122
2020-01-17,10094702.593522478
2020-01-18,10749476.948016409
2020-01-19,12074092.785477174
2020-01-20,12145554.023377236
2020-01-21,9002551.02392938
2020-01-22,10015492.546693495
2020-01-23,10397767.120520327
2020-01-24,11382296.343878394
2020-01-25,10405946.418834189
2020-01-26,5849646.768627899
2020-01-27,9960820.394806098
2020-01-28,11045653.644855216
2020-01-29,9969430.182504902
2020-01-30,13168827.291379914
2020-01-31,13164952.886915453
2020-02-01,11491210.158268245
2020-02-02,10179078.512970742
2020-02-03,13594581.293085698
2020-02-04,6899179.889111925
2020-02-05,11303086.29704941
2020-02-06,7053725.578305431
2020-02-07,9835547.983788522
2020-02-08,12417623.314659396
2020-02-09,14471488.170208735
2020-02-10,14721602.502858948
2020-02-11,13464143.009448841
2020-02-12,14505066.342234064
2020-02-13,14527451.790250951
2020-02-14,1622241.0085158665
2020-02-15,10533371.276776467
2020-02-16,15635961.956471775
2020-02-17,16261032.543404836
2020-02-18,15918362.992992496
2020-02-19,14129679.598566275
2020-02-20,14000102.293699298
2020-02-21,14769817.313972242
2020-02-22,17177113.954557423
2020-02-23,16289014.353425946
2020-02-24,2431561.0522033013
2020-02-25,5664105.843718706
2020-02-26,15686759.703894708
2020-02-27,6710195.04912321
2020-02-28,11435246.538226029
2020-02-29,12189894.43002607
2020-03-01,11353453.555087404
2020-03-02,12654392.476376465
2020-03-03,18437586.873662114
2020-03-04,18478052.875846483
2020-03-05,18556832.433290526
2020-03-06,18032065.873048514
2020-03-07,18720848.888952713
2020-03-08,13951026.503816122
2020-03-09,3060075.5542158857
2020-03-10,18054020.83168046
2020-03-11,19811708.990390994
2020-03-12,17461236.948617905
2020-03-13,20079903.87720869
2020-03-14,20721333.060769476
2020-03-15,20333892.614323366
2020-03-16,18228369.03258121
2020-03-17,20912039.85829795
2020-03-18,21293883.942739844
2020-03-19,21700265.922123324
2020-03-20,21160862.722793348
2020-03-21,18313605.930799358
2020-03-22,21702418.369048025
2020-03-23,21296036.389664546
2020-03-24,16920972.77051805
2020-03-25,18962353.433904126
2020-03-26,4262862.895738596
2020-03-27,21390313.564966433
2020-03-28,19767368.58374216
2020-03-29,21512572.55028943
2020-03-30,21522043.31675811
2020-03-31,16649764.458005771
2020-04-01,14059079.339436095
