,year,month,day,tp,ssr,temp,wind_speed,wind_direct,dvs,wlv,wst,wso,tagp,lai
24,2019,7,8,0.0066052371785651,19430663.728674863,298.74509525384934,42.573707954997055,178.26410153274327,0.5,161,118,0,281,0.37
25,2019,7,9,0.0435324501108333,16068575.913106278,297.8920738317194,16.641383666123726,178.6850789986989,0.52,194,146,0,341,0.46
26,2019,7,10,0.0333759764154618,19067945.259993058,297.36361219572524,20.17054242022904,178.34817908492496,0.54,215,165,0,382,0.52
27,2019,7,11,0.016906019071616,20389524.75234329,299.19964361273026,31.18157005950014,180.7271361605937,0.55,242,189,0,433,0.6
28,2019,7,12,0.0076263745338835,20571751.73421692,300.2001256817742,51.93437552301765,180.3785730375602,0.57,280,224,0,506,0.71
29,2019,7,13,0.0001646995734384,25841148.62672957,303.19876659951103,46.24523965302647,180.13372976641742,0.59,316,258,0,576,0.82
30,2019,7,14,0.1083927106982639,23722976.89933173,302.5215636410094,41.164687179567885,179.36247417162204,0.61,379,319,0,700,1.01
31,2019,7,15,0.000156856736608,22112003.604815517,302.6808857833018,43.457877121547305,178.94187464816585,0.63,437,375,0,815,1.19
32,2019,7,16,0.0402823785283144,15112752.00580242,302.4351180384449,23.652290807244757,179.72866159266547,0.65,510,448,0,960,1.42
33,2019,7,17,0.0187083029752426,14681481.482034814,300.7717033960845,38.11353827343953,179.29074811367428,0.67,561,499,0,1061,1.58
34,2019,7,18,3.137134732156266e-05,24031461.14721781,301.19466175699114,45.75429754498735,178.16792040872937,0.69,610,548,0,1160,1.74
35,2019,7,19,2.3528510491171994e-05,24052287.08800337,302.84923363930096,34.54537671291202,178.78352480029568,0.71,694,632,0,1328,2.02
36,2019,7,20,0.0024046137722013,20594313.170067944,301.93297123667065,13.970829686107296,182.10919278967376,0.74,810,748,0,1559,2.41
37,2019,7,21,2.039137575901573e-05,24672726.573906463,305.54273835073724,27.84623995220776,179.49255421093238,0.76,918,856,0,1777,2.79
38,2019,7,22,0.0268005420168521,19864971.368807036,305.89812582794644,67.89361116954373,179.84998544704126,0.78,1029,971,0,2007,3.19
39,2019,7,23,0.0362637089364161,18585043.75802792,303.70182816956645,40.16987530751872,180.4213349059107,0.8,1127,1071,0,2206,3.54
40,2019,7,24,0.0012595595949626,24789872.49082524,305.8139061615328,35.403565534536874,179.7347358160987,0.83,1210,1161,0,2386,3.86
41,2019,7,25,0.030129041967675,14802098.389084509,303.5968432631717,38.28848508937284,179.86505562073552,0.85,1342,1297,0,2658,4.35
42,2019,7,26,1.568567366078133e-06,25084472.77818761,306.36734097160104,48.28425869967673,179.43551079655404,0.87,1442,1396,0,2856,4.73
43,2019,7,27,0.0244288681593383,21287209.57495413,303.62882966073425,54.07814891337425,179.7387776418213,0.9,1535,1502,0,3068,5.11
44,2019,7,28,0.0323611133296076,19056230.66830118,304.9361555035369,58.3966917736835,180.0020704412434,0.92,1603,1578,21,3241,5.39
45,2019,7,29,0.1969571613219037,17768927.20349385,302.7682766464232,49.3458771247697,180.581784701643,0.94,1633,1630,63,3386,5.55
46,2019,7,30,0.0080138106733055,11368855.275831928,301.1707253203022,64.90147128893618,180.4265566147897,0.97,1642,1659,115,3497,5.62
47,2019,7,31,2.352851049119281e-05,22329374.36176478,303.3344572278749,75.7522188814522,180.13575994360826,0.99,1661,1681,192,3618,5.7
48,2019,8,1,0.2010589649842043,15842961.554596065,301.9432471336951,53.1351338388916,180.05890887641408,1.0,1684,1707,387,3865,5.8
49,2019,8,2,0.4469083711068388,6905161.967460573,297.54766357388354,29.241574231290468,178.30996224998478,1.03,1690,1718,587,4087,5.84
50,2019,8,3,0.0145845393698168,17710788.118800834,300.3530139538228,35.64323068034521,178.38176170858534,1.05,1691,1724,694,4206,5.85
51,2019,8,4,0.0101815707732287,20261531.99126537,302.08320668070405,46.04953893476415,179.45661199865236,1.08,1694,1733,858,4387,5.87
52,2019,8,5,0.1121055096537765,14950049.343415244,301.023996488013,31.98577142966826,179.46098506059823,1.11,1698,1743,1034,4581,5.89
53,2019,8,6,0.0607851225703532,13230607.607307578,300.6556193012123,19.519391399228404,179.62195793132278,1.14,1703,1756,1270,4841,5.92
54,2019,8,7,0.4906117950605748,4506273.913224062,298.87243099857903,16.01928235023684,179.06666959437814,1.17,1704,1764,1418,5003,5.93
55,2019,8,8,0.0084310495926829,17846590.60767333,301.129865670413,31.159692959279823,178.65967092861578,1.19,1702,1770,1537,5133,5.93
56,2019,8,9,0.0862570880281352,18235775.376103453,301.6920822559798,23.755990359308637,179.77529033075717,1.22,1705,1783,1770,5388,5.95
57,2019,8,10,0.3549134636535807,6747665.790269787,298.2992676859151,67.07116089508327,177.45174908493505,1.25,1704,1790,1890,5519,5.95
58,2019,8,11,1.4565230305540466,2221494.659541756,297.3085736374788,171.6581329849113,183.05025134017887,1.27,1701,1795,1986,5623,5.95
59,2019,8,12,0.0614486265662053,6302077.43221211,296.8292655504561,118.31793487417713,182.59066960773697,1.29,1698,1801,2091,5737,5.94
60,2019,8,13,0.0014352391399636,11204417.11837929,297.5750761300406,41.63876448184481,182.77814457645223,1.31,1695,1806,2194,5848,5.94
61,2019,8,14,0.0032077202636346,19889268.29972352,300.01015880206484,14.611255382336848,177.20796939772706,1.33,1692,1812,2310,5973,5.93
62,2019,8,15,0.0003341048489751,23901299.017308075,301.9163224539546,37.43354129620069,180.166777035232,1.36,1692,1825,2547,6229,5.94
63,2019,8,16,0.0016030758481342,18264411.044683594,298.1987651440977,18.95578812105037,182.37981578532052,1.38,1692,1839,2800,6501,5.94
64,2019,8,17,0.0,25223312.38342467,299.2507486673679,31.720963262743734,180.9450082498944,1.4,1689,1848,2973,6687,5.94
65,2019,8,18,0.0,24932616.95995958,300.6368970437256,50.23430672595566,179.69081293900447,1.43,1688,1862,3233,6964,5.93
66,2019,8,19,0.0,23473499.4836714,299.9550592592664,88.84880131384499,179.95624968182184,1.45,1687,1876,3485,7234,5.93
67,2019,8,20,0.002454807927916,21544062.84464268,299.77302037132654,32.45036304408683,179.67615651120917,1.47,1684,1888,3724,7489,5.93
68,2019,8,21,2.3528510491171994e-05,19282278.90057776,299.26508003710524,31.98669565461564,177.76643439369138,1.49,1681,1900,3946,7726,5.92
69,2019,8,22,0.0,19841108.311656915,300.0518722356832,25.584786594776457,182.2911815101677,1.52,1677,1910,4126,7917,5.91
70,2019,8,23,6.274269464312532e-06,21820006.56005133,301.0569891306849,22.71938820355556,178.23616200998222,1.54,1673,1881,4302,8104,5.9
71,2019,8,24,0.0140308350895904,7395439.323453927,298.2337397847119,59.0319351140753,178.18271813017137,1.56,1669,1855,4516,8330,5.89
72,2019,8,25,0.0298059170902625,5270759.489560602,296.611398238173,18.955219066872647,178.00309237730326,1.59,1664,1822,4600,8419,5.87
73,2019,8,26,0.0015450388555893,9642905.433228772,298.93365948886105,13.446920920934978,178.6857142707381,1.61,1659,1790,4689,8512,5.86
74,2019,8,27,0.0004329245930382,17758948.106867436,298.8150445350778,56.632945044199005,180.84104433185297,1.63,1654,1759,4774,8602,5.84
75,2019,8,28,9.411404196468798e-06,23860514.88326969,300.31474614739665,45.81123353504918,182.3264876101357,1.65,1649,1730,4897,8731,5.83
76,2019,8,29,0.0,23541617.664990827,298.3597643615721,24.664270911749476,181.62654673145343,1.68,1645,1704,5097,8940,5.82
77,2019,8,30,2.5097077857250127e-05,23287801.511666834,298.68191525790104,24.271380206794856,178.13893850563542,1.7,1602,1679,5318,9171,5.69
78,2019,8,31,0.0,22959792.94429429,298.7797649717032,53.933192706589416,179.0171917904756,1.72,1599,1654,5536,9397,5.68
79,2019,9,1,0.0002039137575904,19380768.2455428,298.9681157607826,80.4702889623056,180.0031351234961,1.73,1566,1629,5748,9617,5.59
80,2019,9,2,5.803699254489092e-05,19980815.6644267,298.8409019851571,35.890780494986025,179.8006109823053,1.76,1503,1602,5912,9786,5.4
81,2019,9,3,7.999693567010274e-05,21856018.08265969,297.92067558664195,48.94505457784809,179.37483374745807,1.78,1445,1574,6054,9933,5.22
82,2019,9,4,2.8234212589406397e-05,21308469.38950605,298.22462259417694,35.46940953062508,179.69291900386844,1.8,1435,1547,6181,10063,5.18
83,2019,9,5,7.842836830390665e-06,20955730.017450653,299.6914840252041,49.52353531223475,179.9740663398986,1.82,1372,1518,6273,10157,4.99
84,2019,9,6,0.0,21399149.006676503,298.92191996258686,42.84384007892194,177.97791299823686,1.84,1322,1489,6341,10227,4.83
85,2019,9,7,0.0,21982275.348672137,299.9188954198868,33.32882024198669,180.64622516552944,1.86,1272,1461,6400,10287,4.66
86,2019,9,8,3.137134732156266e-06,22118511.711311,302.1803550721574,58.01894104466638,179.93341283196494,1.88,1248,1432,6445,10333,4.58
87,2019,9,9,0.0002274422680816,20951391.279787,301.0164039112799,82.74117179120043,178.40135834971082,1.91,1188,1404,6471,10360,4.38
88,2019,9,10,0.0116183784805585,9211201.035694802,296.1901474447243,157.42267125109944,177.8194714065485,1.93,1073,1376,6490,10379,3.99
89,2019,9,11,0.1815742211627517,5105019.710808866,292.873868487512,118.10456588172804,177.98092228680727,1.95,964,1349,6517,10406,3.62
90,2019,9,12,0.0061472155076695,3523115.958639158,293.5465585891602,23.065596339260534,178.8132731032614,1.97,949,1322,6554,10443,3.57
91,2019,9,13,0.0357241217624843,6576719.526321662,294.4259558300621,58.13412608764286,183.0427252842528,1.98,849,1296,6641,10531,3.21
92,2019,9,14,0.0003686133310289,14933128.266526978,296.23533699781086,28.627356884586977,182.66161723985692,2.0,849,1270,6725,10615,3.21
93,2020,6,11,0.0048007615780478,20543110.455404267,302.5478623194578,56.23958514604083,179.71635153623004,0.0,8,3,0,10,0.01
94,2020,6,12,1.7654494902277773e-05,24456689.45389495,298.12078136203706,37.40834105630234,180.51623996668383,0.02,9,3,0,11,0.01
95,2020,6,13,9.836075731227412e-05,26228153.272923566,300.3401412305315,36.18730306435585,180.75725382212207,0.04,10,3,0,13,0.01
96,2020,6,14,3.7831060504880942e-06,28138665.16328784,301.8016167553764,41.67133610861075,177.70877164735452,0.06,11,4,0,15,0.02
97,2020,6,15,2.017656560260317e-05,12782678.313088622,302.15988185832254,19.198003149465418,181.3094408997247,0.08,13,4,0,17,0.02
98,2020,6,16,0.0164325516478962,10175634.59789122,297.99846318003625,40.59500516646367,180.8808372582071,0.1,14,5,0,19,0.02
99,2020,6,17,0.0515713016800219,5642150.885086758,294.00062168162026,29.657376301141472,177.92170046128786,0.11,15,5,0,20,0.02
100,2020,6,18,0.0001185373229148,10184674.874974964,294.4926217530647,32.81572410611665,180.1947512184585,0.12,16,6,0,22,0.03
101,2020,6,19,2.1437600952765867e-05,24145876.11796818,298.34911709198417,80.20913562401306,180.24540169187367,0.14,18,7,0,24,0.03
102,2020,6,20,0.0,26850210.434162047,299.8187429338564,93.15812176484708,180.18364539459597,0.15,20,8,0,27,0.03
103,2020,6,21,0.0,27001312.20827603,300.1265521831433,76.87126029723476,179.98548329622514,0.17,23,9,0,32,0.04
104,2020,6,22,0.0073089608895101,22762283.23477061,299.3747250789966,49.218767548189504,180.0154306401815,0.19,27,12,0,38,0.05
105,2020,6,23,0.0075548627827908,13605343.5277092,295.9027851652631,67.72816515298449,177.92156002962,0.21,31,14,0,44,0.05
106,2020,6,24,0.0218978788554768,22143669.988611653,298.6091978310531,51.96658805719317,177.91725810908764,0.23,33,15,0,49,0.06
107,2020,6,25,0.1946206297311352,18597298.4354749,300.3181004899324,51.69809432392661,179.55285841797428,0.24,38,18,0,56,0.07
108,2020,6,26,0.0084955951540079,12929905.682738144,300.8869101638673,28.203302089332308,180.0612948598653,0.26,44,22,0,66,0.08
109,2020,6,27,0.0010529645173811,24944433.927032117,302.48402345496,36.07582809436703,178.34039381321563,0.28,47,24,0,71,0.09
110,2020,6,28,0.0831350164944524,17603298.44564815,299.9631969963437,16.581844692316345,177.55126637362682,0.3,55,30,0,84,0.1
111,2020,6,29,0.1797126698215788,19377345.200986408,297.74659618458617,32.395100214143305,177.0409390123706,0.32,60,33,0,93,0.11
112,2020,6,30,4.9180378656213386e-05,21288718.07012057,297.59373809870493,6.612564795519054,178.23080381458362,0.34,66,37,0,103,0.13
113,2020,7,1,1.0088282801301585e-05,25674974.413275503,300.01856841085583,62.26373162802592,180.26209771368983,0.36,75,44,0,119,0.15
114,2020,7,2,0.2635803478544724,17362654.87946662,298.0611286525884,59.95949592199912,178.99924327015623,0.38,89,54,0,143,0.18
115,2020,7,3,0.0191664762870367,16818516.2969023,296.12487337593257,43.28335639487325,179.84432345685758,0.39,96,60,0,156,0.2
116,2020,7,4,0.0612901011236822,16466375.980021276,297.99538699034105,81.10803517093515,180.29773752237296,0.41,105,67,0,171,0.22
117,2020,7,5,0.0106507045674263,18669190.1627599,300.8546577420123,59.457836235670165,180.32811586950197,0.42,116,75,0,191,0.24
118,2020,7,6,0.0022976064079861,24421389.32432986,301.6952186478801,27.28794908000666,178.04561415104197,0.44,131,88,0,220,0.28
119,2020,7,7,0.0,25726633.13946832,301.52206405267026,65.19106266787317,178.15984246169808,0.46,153,106,0,259,0.34
120,2020,7,8,0.0032976074406607,23105383.27456789,301.6842141342285,30.391541352723557,178.55297267656803,0.48,183,131,0,314,0.42
121,2020,7,9,0.2357013783332007,12326359.565052088,296.8877367070267,27.772594343430477,179.4715697590407,0.51,215,158,0,373,0.51
122,2020,7,10,0.0005132413875139,15737987.940702584,298.9369230301188,3.402105656702285,178.82018056281362,0.52,238,179,0,417,0.57
123,2020,7,11,0.0141866476892666,12772777.057235,299.1173716833688,46.33531904599693,177.99062606882015,0.54,262,200,0,462,0.64
124,2020,7,12,0.0021185393882638,5970614.285796074,295.09951909528667,88.63673993264237,177.495161664174,0.56,286,221,0,507,0.71
125,2020,7,13,0.0056897914999085,19546097.039882936,297.0313345105268,32.06777820805644,177.99840568456457,0.57,312,246,0,559,0.78
126,2020,7,14,0.0018663323182324,23136808.999668524,298.5009286391032,53.87030637494841,180.5884842317841,0.59,354,286,0,640,0.91
127,2020,7,15,0.0001677177015709,24649548.698348124,299.7842388679976,55.07838422961412,180.4724476151834,0.61,407,337,0,744,1.07
128,2020,7,16,0.0002496849993311,22993886.5238684,300.6277173970816,70.91559120176082,180.2406466880978,0.63,482,409,0,891,1.3
129,2020,7,17,0.0001248424996655,17810794.32918929,298.6537867249845,52.679845124732175,180.19777534622563,0.65,565,492,0,1057,1.56
130,2020,7,18,0.0016960925459613,16377695.16672361,298.6161113295431,59.20785460106099,177.56877878306216,0.66,631,558,0,1188,1.77
131,2020,7,19,0.0008537209320563,15970021.719185311,297.8169362747282,23.716199765277636,182.7125063045237,0.68,695,622,0,1317,1.98
132,2020,7,20,3.4047954454295704e-05,25769682.07796233,301.00126830861586,95.1218296529144,180.21886738537663,0.7,749,677,0,1426,2.16
133,2020,7,21,0.0001424969945678,21271068.00533802,300.56270514063823,84.61134534164177,179.98826912864348,0.72,875,802,0,1678,2.58
134,2020,7,22,0.427479634385082,9392574.406685133,296.0703265071118,62.57692094463588,177.89959669011154,0.74,982,909,0,1891,2.94
135,2020,7,23,0.0,22596114.33218373,298.8209792205791,66.47513127104344,177.5756349332518,0.75,1047,974,0,2022,3.17
136,2020,7,24,0.0,26239345.996932007,300.71061595237063,55.89781663375149,181.1766931322355,0.77,1188,1115,0,2302,3.66
137,2020,7,25,0.0080807145238062,18286915.58893307,300.2521685479101,40.87244290322722,181.17577642804216,0.79,1352,1279,0,2631,4.24
138,2020,7,26,0.0303896909034343,5168182.07226768,295.54743768553294,41.453588684819,178.79019466182012,0.81,1442,1369,0,2811,4.56
139,2020,7,27,0.0114943372166813,16104764.89667157,298.23161933094883,21.51498594122125,179.9924618389198,0.82,1516,1444,0,2960,4.84
140,2020,7,28,0.000979824467072,20947770.477247983,300.26187281643297,66.05805066047351,180.30066694581512,0.84,1607,1534,0,3140,5.17
141,2020,7,29,0.0011778070170467,21721359.901985392,300.7162609190278,76.49247152213376,180.3406292430432,0.86,1757,1685,0,3442,5.74
142,2020,7,30,4.665830795583248e-05,21775171.075102907,301.08984354385785,90.35712206734392,180.05026288691553,0.88,1918,1849,0,3771,6.35
143,2020,7,31,0.0208840064339506,16259310.585865077,300.25112200914793,91.28675114168398,180.06042013657282,0.9,2080,2022,0,4117,7.0
144,2020,8,1,0.0711438313498092,17723835.473431382,301.6536108037564,70.32310828035777,180.33729290500392,0.92,2195,2157,44,4431,7.5
145,2020,8,2,0.0087503242947396,10618177.68560967,301.7778000702111,79.21423880299814,180.3503097314971,0.94,2244,2233,107,4646,7.74
146,2020,8,3,0.1842397867286425,17180127.380252004,303.348781605543,67.857268998795,180.36058299654616,0.96,2277,2296,215,4880,7.93
147,2020,8,4,0.0360391292721378,17289471.684026796,302.56311641475,26.917530616431645,180.315778502853,0.98,2274,2326,310,5035,7.97
148,2020,8,5,0.0664754784835279,6819539.352898002,299.8802033011671,44.87195809182693,177.2592724045916,1.0,2264,2350,480,5252,7.98
